r,multiset_lower,distinct_lower
1,0.672500703679411645,0.804185854391506379
2,0.836250351839705822,0.938727930759812705
3,0.887620008173354339,0.969319059130202340
4,0.906350006811128616,0.979753104026191349
5,0.915715006130015754,0.984891304068350515
6,0.921334005721348037,0.987949456853123886
7,0.925080005448902893,0.989978009116529715
8,0.927755719540013504,0.991422003329087516
9,0.929762505108346462,0.992502292326884009
10,0.931323338328160985,0.993340918495729172
11,0.932572004904012603,0.994010814893333201
12,0.933593641193345746,0.994558249144228326
13,0.934445004767790031,0.995013989434481116
14,0.935165389330781349,0.995399293260475808
15,0.935782861813345337,0.995729318609917087
16,0.936318004631567459,0.996015165233234680
17,0.936786254597511816,0.996265147579268442
18,0.937199416332168601,0.996485616880623285
19,0.937566671207419077,0.996681508301211326
20,0.937895267674748450,0.996856714757252045
21,0.938191004495344886,0.997014348257142608
22,0.938458575904455948,0.997156926360505666
23,0.938701822640011458,0.997286507646781790
24,0.938923917485518662,0.997404791752475394
25,0.939127504427233600,0.997513194336895872
26,0.939314804413611343,0.997612904013172774
27,0.939487696708729259,0.997704926111191877
28,0.939647782167171775,0.997790116693943031
29,0.939796432950011253,0.997869209269118811
30,0.939934831954723871,0.997942835962806519
31,0.940064004359122314,0.998011544450021201
32,0.940184843060011180,0.998075811602055972
33,0.940298129342094493,0.998136054570184550
34,0.940404549788900028,0.998192639850502917
35,0.940504710209422885,0.998245890746287038
36,0.940599147177344436,0.998296093548909503
37,0.940688337647048123,0.998343502686896962
38,0.940772707010281341,0.998388345038659560
39,0.940852635880712810,0.998430823563194561
40,0.940928465834711896,0.998471120371366187
41,0.941000504291011028,0.998509399335806780
42,0.941069028676271178,0.998545808318325799
43,0.941134289995566558,0.998580481078665837
44,0.941196515904662154,0.998613538916551321
45,0.941255913363344314,0.998645092089518099
46,0.941312670934973933,0.998675241041448639
47,0.941366960786097916,0.998704077470655850
48,0.941418940430791092,0.998731685261442832
49,0.941468754256955385,0.998758141299073056
50,0.941516534865725217,0.998783516184826880
51,0.941562404250144256,0.998807874865148986
52,0.941606474835174313,0.998831277186691975
53,0.941648850397703214,0.998853778387243051
54,0.941689626882400836,0.998875429531011609
55,0.941728893126924472,0.998896277895498148
56,0.941766731508010885,0.998916367316113570
57,0.941803218518344211,0.998935738493835690
58,0.941838425282700930,0.998954429270446983
59,0.941872418020700520,0.998972474875270213
60,0.941905258462496735,0.998989908146786946
61,0.941937004222899742,0.999006759732072212
62,0.941967709138699372,0.999023058266593472
63,0.941997423573344175,0.999038830536592959
64,0.942026194692603429,0.999054101625990413
65,0.942054066714385831,0.999068895049500855
66,0.942081081135498005,0.999083232873453303
67,0.942107276937788599,0.999097135825616053
68,0.942132690775831712,0.999110623395178113
69,0.942157357148050027,0.999123713923901011
70,0.942181308552957667,0.999136424689337524
71,0.942204575632010803,0.999148771980911289
72,0.942227187300386385,0.999160771169561762
73,0.942249170866862646,0.999172436771580630
74,0.942270552143846407,0.999183782507197107
75,0.942291355548479255,0.999194821354409246
76,0.942311604195655227,0.999205565598505328
77,0.942331319983694990,0.999216026877672603
78,0.942350523673344109,0.999226216225049349
79,0.942369234960694533,0.999236144107539690
80,0.942387472544567731,0.999245820461678230
81,0.942405254188844099,0.999255254726802831
82,0.942422596780175371,0.999264455875768349
83,0.942439516381474174,0.999273432443411382
84,0.942456028281536860,0.999282192552955858
85,0.942472147041121864,0.999290743940531162
86,0.942487886535775456,0.999299093977958363
87,0.942503259995669662,0.999307249693945606
88,0.942518280042692737,0.999315217793820747
89,0.942532958725010741,0.999323004677917673
90,0.942547307549299128,0.999330616458722263
91,0.942561337510825551,0.999338058976874528
92,0.942575059121549195,0.999345337816114982
93,0.942588482436387543,0.999352458317255604
94,0.942601617077788506,0.999359425591248883
95,0.942614472258734130,0.999366244531422135
96,0.942627056804291426,0.999372919824938641
97,0.942639379171816277,0.999379455963542020
98,0.942651447469907627,0.999385857253635595
99,0.942663269476201193,0.999392127825744278
100,0.942674852654084789,0.999398271643402663
